bug id, has_smell 
1232595, false 
1404366, true 
1712837, true 
2147009, false 
2735276, false 
3106438, false 
5057608, true 
5254577, false 
5343116, false 
5419032, false 
5452473, true 
5821364, false 
5866094, false 
6526420, true 
6823087, false 
7208882, false 
7296673, false 
7368679, false 
7381642, false 
8012229, true 
8076853, false 
8099739, true 
8135078, false 
9433509, false 
9580643, false 
9585450, false 
9739125, true 
9739772, false 
9946472, true 
10022222, false 
10415556, true 
10447005, false 
10527362, true 
10672559, true 
10861108, false 
10918591, true 
11224701, false 
11237727, false 
11256006, false 
11649073, true 
11661021, false 
11695070, false 
11736916, true 
11990465, true 
12250682, true 
12675943, false 
12785423, false 
12800232, true 
12894042, false 
13020924, false 
13104800, true 
13126748, false 
13176294, false 
13246857, true 
13248977, false 
13319202, false 
13343730, true 
13569372, true 
13639914, true 
13680438, false 
13787929, false 
14127601, true 
14279909, false 
14392811, true 
14650725, true 
14975169, false 
15193147, false 
15283594, true 
15347319, true 
15696340, false 
15804187, true 
15845915, false 
15922840, true 
15986349, true 
16142505, false 
16161518, true 
16186697, false 
16819131, true 
16875464, true 
16979045, true 
17112184, false 
17303292, true 
17345682, false 
17369696, false 
17478770, false 
17491725, false 
17571233, true 
17594306, true 
17723234, false 
17726921, true 
17733693, false 
17760225, false 
17760659, false 
17760671, true 
17857156, false 
17958582, false 
17987231, false 
18002358, true 
18048725, false 
18052916, false 
18056075, false 
18064192, false 
18088752, true 
18092307, false 
18113606, true 
18134313, false 
18143176, false 
18175853, true 
18178237, true 
18224038, false 
18237764, true 
18239590, false 
18247269, false 
18266674, false 
18276856, true 
18326557, false 
18386420, false 
18406595, false 
18411080, false 
18482784, false 
18483163, false 
18491424, false 
18502113, false 
18508263, false 
18543323, false 
18550276, false 
18568715, true 
18581716, true 
18591282, true 
18625739, true 
18629526, false 
18632512, false 
18642190, false 
18689171, true 
18707397, false 
18723951, false 
18724932, false 
18776546, false 
18778078, false 
18791346, false 
18821091, false 
18826179, true 
18864087, false 
18864800, true 
18903857, false 
18903923, false 
18920212, true 
18928352, false 
18930508, true 
18940278, false 
18949148, true 
19000727, true 
19051528, false 
19059885, false 
19062769, false 
19063113, false 
19067882, false 
19082426, false 
19098033, true 
19102311, true 
19118840, false 
19121797, false 
19125767, false 
19126514, true 
19127604, true 
19127753, false 
19129506, false 
19130917, false 
19159232, true 
19160983, true 
19169884, false 
19182305, true 
19186859, true 
19194758, false 
19199637, true 
19225708, true 
19232554, true 
19235243, false 
19294390, true 
19312280, false 
19330825, false 
19337627, true 
19340792, false 
19349693, true 
19371754, true 
19382871, true 
19397276, true 
19412589, false 
19412725, true 
19437552, false 
19440221, false 
19461810, true 
19470192, true 
19479861, true 
19509156, false 
19516826, false 
19520495, false 
19525200, true 
19531976, true 
19537384, true 
19538553, true 
19544351, true 
19555868, false 
19574976, true 
19582019, false 
19602257, false 
19609418, false 
19609468, true 
19612879, false 
19623656, false 
19642104, true 
19666434, false 
19668057, false 
19696844, false 
19704432, false 
19704592, false 
19706593, false 
19709691, false 
19712809, false 
19718330, false 
19797138, true 
19805521, false 
19818550, true 
19865400, false 
19894637, false 
19908596, false 
19913735, true 
19918231, false 
19919114, false 
19924661, false 
19937981, false 
19940527, true 
19948628, true 
19950062, true 
19950657, true 
19987403, false 
19993667, false 
19995822, false 
20008288, false 
20010079, true 
20012567, true 
20013379, true 
20015121, false 
20015718, false 
20016398, true 
20016455, true 
20016740, false 
20024603, false 
20037135, true 
20059794, false 
20064008, true 
20064962, false 
20066058, false 
20067687, false 
20068182, false 
20070414, false 
20081183, true 
20087437, false 
20088412, false 
20089489, false 
20089503, false 
20090652, false 
20091403, false 
20092236, true 
20093789, true 
20102975, true 
20110140, false 
20113389, true 
20123879, true 
20124384, false 
20127825, true 
20128047, true 
20134921, true 
20136477, true 
20138255, false 
20144385, true 
20148125, true 
20153922, true 
20154391, false 
20157436, true 
20159300, false 
20160395, true 
20160491, true 
20171694, false 
20175072, false 
20176812, true 
20199623, false 
20209718, false 
20217070, false 
20224743, false 
20229905, false 
20232310, false 
20232584, true 
20247811, false 
20254168, true 
20257400, false 
20257430, false 
20257833, false 
20258744, true 
20260729, false 
20264417, false 
20267825, true 
20268926, false 
20275423, false 
20275572, false 
20288155, false 
20294239, true 
20303449, false 
20323096, false 
20332322, true 
20333885, false 
20343017, false 
20343730, false 
20345203, false 
20346194, true 
20346315, false 
20416721, false 
20423603, false 
20431566, false 
20432208, false 
20438089, false 
20443325, true 
20443441, false 
20447313, false 
20447341, false 
20451261, false 
20451514, false 
20452651, true 
20461288, true 
20469328, true 
20488109, false 
20491394, true 
20493815, false 
20493831, false 
20494934, false 
20495301, true 
20500732, true 
20503132, false 
20503551, true 
